店铺id,评分,评论数量,人均消费,归属商圈,菜系类型,county,距离描述
122759638,3.0,2,88,大兴北京新机场地区,火锅,大兴区,距市中心20.6km
136465478,3.0,2,0,环球影城度假区及周边,西餐,通州区,距市中心21.5km
17521257,3.0,2,80,首都机场/新国展地区,火锅,顺义区,距市中心22.5km
4943560,3.0,2,0,回龙观/天通苑地区,川菜,昌平区,距市中心22.6km
70459498,3.0,2,83,北京站,快餐简餐,东城区,距市中心2.2km
15493833,3.0,2,17,总部基地/丰台体育中心/南宫地区,小吃,丰台区,距市中心25.6km
11392478,3.0,2,34,,小吃,东城区,距市中心2.5km
7030886,3.0,2,84,房山风景区,烧烤,房山区,距市中心26.1km
13881819,3.0,2,46,通州运河商务区,川菜,通州区,距市中心27.1km
4966429,3.0,2,69,环球影城度假区及周边,湘菜,通州区,距市中心27.5km
142244485,3.0,2,0,沙河大学城/上庄地区,川菜,昌平区,距市中心29km
8301195,3.0,2,40,房山风景区,火锅,房山区,距市中心30km
136312026,3.0,2,0,天安门/王府井地区,粤菜,东城区,距市中心311m
4937002,3.0,2,66,前门/天坛公园/崇文门,,东城区,距市中心3.2km
15487968,3.0,2,84,,东北菜,大兴区,距市中心33.2km
4960705,3.0,2,41,,快餐简餐,西城区,距市中心3.5km
15901983,3.0,2,73,西单/金融街地区,客家菜,西城区,距市中心3.7km
25049161,3.0,2,0,昌平城区/十三陵度假区,,昌平区,距市中心40.3km
17514607,3.0,2,24,,小吃,房山区,距市中心42.7km
7021874,3.0,2,66,三里屯/工体/东直门地区,咖啡店,东城区,距市中心4km
298174,3.0,2,60,劲松/潘家园地区,川菜,丰台区,距市中心5.2km
220528,3.0,2,77,北京西站/丽泽商务区,火锅,西城区,距市中心5.7km
17515742,3.0,2,27,永定门/南站/大红门/南苑地区,快餐简餐,丰台区,距市中心5.7km
13611841,3.0,2,0,马甸/安贞地区,东北菜,东城区,距市中心6.2km
7044091,3.0,2,60,马甸/安贞地区,烧烤,海淀区,距市中心6.2km
17005721,3.0,2,39,西直门/北京展览馆地区,咖啡店,西城区,距市中心6.4km
15930541,3.0,2,27,,快餐简餐,丰台区,距市中心6.7km
122784089,3.0,2,83,劲松/潘家园地区,烧烤,丰台区,距市中心6km
79423461,3.0,2,24,北京西站/丽泽商务区,小吃,西城区,距市中心7.2km
25040561,3.0,2,45,西直门/北京展览馆地区,,海淀区,距市中心7.7km
4973555,3.0,2,59,天安门/王府井地区,北京菜,东城区,距市中心814m
78255529,3.0,2,74,,北京菜,昌平区,
15545935,3.0,2,40,,其他,怀柔区,
15459416,3.0,2,150,怀柔风景区,北京菜,怀柔区,
17605879,3.0,2,39,古北水镇,快餐简餐,密云区,
22429247,3.0,2,109,平谷城区,北京菜,平谷区,
23521251,3.0,2,0,延庆休闲度假区,烧烤,延庆区,
4960808,3.0,2,44,延庆休闲度假区,农家菜,延庆区,
7042958,3.0,2,77,,农家菜,延庆区,
4949533,3.0,2,29,延庆休闲度假区,农家菜,延庆区,
12501277,3.0,2,32,延庆休闲度假区,快餐简餐,延庆区,
134807731,3.0,2,78,延庆休闲度假区,,延庆区,
12468877,3.0,2,190,,农家菜,密云区,
13689463,3.0,2,69,,,密云区,
4942017,3.0,1,36,公主坟/五棵松/石景山游乐园地区,西餐,海淀区,距市中心10.3km
15430212,3.0,1,0,,,丰台区,距市中心10.5km
4960134,3.0,1,44,,小吃,海淀区,距市中心10.6km
12927820,3.0,1,35,,,海淀区,距市中心10.8km
4955555,3.0,1,29,中关村/五道口,快餐简餐,海淀区,距市中心10.9km
25039202,3.0,1,96,北京西站/丽泽商务区,烧烤,丰台区,距市中心10km
62570143,3.0,1,59,,新疆菜,海淀区,距市中心11.1km
4970438,3.0,1,66,总部基地/丰台体育中心/南宫地区,,丰台区,距市中心11.4km
18482356,3.0,1,1943,公主坟/五棵松/石景山游乐园地区,,海淀区,距市中心11.4km
22516644,3.0,1,135,望京/酒仙桥/798地区,北京菜,朝阳区,距市中心11.4km
12548339,3.0,1,77,中关村/五道口,火锅,海淀区,距市中心11.9km
15474688,3.0,1,63,,火锅,丰台区,距市中心11km
122716601,3.0,1,0,总部基地/丰台体育中心/南宫地区,小吃,丰台区,距市中心11km
18618026,3.0,1,18,,快餐简餐,大兴区,距市中心12.9km
282022,3.0,1,43,,西餐,海淀区,距市中心12km
130469506,3.0,1,32,亦庄地区,快餐简餐,大兴区,距市中心13.5km
79422435,3.0,1,46,亦庄地区,面包甜点,大兴区,距市中心13.6km
120830431,3.0,1,32,大兴北京新机场地区,快餐简餐,大兴区,距市中心13.6km
18575974,3.0,1,45,,川菜,大兴区,距市中心13.6km
18515365,3.0,1,46,,川菜,大兴区,距市中心13.8km
18604519,3.0,1,0,,川菜,丰台区,距市中心13.8km
120819475,3.0,1,0,天安门/王府井地区,,东城区,距市中心1.3km
133783593,3.0,1,0,大兴北京新机场地区,面包甜点,大兴区,距市中心14.9km
22514664,3.0,1,23,亦庄地区,粤菜,大兴区,距市中心15.3km
7037639,3.0,1,90,上地产业园/西三旗,快餐简餐,海淀区,距市中心15.4km
13556287,3.0,1,18,,快餐简餐,大兴区,距市中心15.8km
136346725,3.0,1,0,前门/天坛公园/崇文门,,西城区,距市中心1.5km
77907907,3.0,1,22,前门/天坛公园/崇文门,咖啡店,东城区,距市中心1.5km
79422079,3.0,1,132,前门/天坛公园/崇文门,日本料理,西城区,距市中心1.5km
21136145,3.0,1,91,上地产业园/西三旗,川菜,海淀区,距市中心16.3km
129611831,3.0,1,0,大兴北京新机场地区,快餐简餐,大兴区,距市中心16.5km
15909053,3.0,1,33,上地产业园/西三旗,快餐简餐,海淀区,距市中心16.6km
20614548,3.0,1,19,上地产业园/西三旗,快餐简餐,海淀区,距市中心17.1km
21539848,3.0,1,82,亦庄地区,小吃,通州区,距市中心17.6km
18573791,3.0,1,17,,快餐简餐,石景山区,距市中心17.8km
4990573,3.0,1,72,亦庄地区,,通州区,距市中心17.8km
16564852,3.0,1,26,,小吃,大兴区,距市中心17km
16098660,3.0,1,28,,快餐简餐,大兴区,距市中心17km
4975986,3.0,1,0,,小吃,石景山区,距市中心18.1km
21593184,3.0,1,38,公主坟/五棵松/石景山游乐园地区,小吃,石景山区,距市中心18.1km
77914853,3.0,1,26,,快餐简餐,石景山区,距市中心18.1km
8539942,3.0,1,72,大兴北京新机场地区,火锅,大兴区,距市中心18.3km
15293733,3.0,1,17,回龙观/天通苑地区,,昌平区,距市中心18.5km
130977100,3.0,1,26,亦庄地区,小吃,通州区,距市中心18.5km
4987391,3.0,1,111,公主坟/五棵松/石景山游乐园地区,韩国料理,石景山区,距市中心18.5km
8546248,3.0,1,21,大兴北京新机场地区,烧烤,大兴区,距市中心18.6km
22521239,3.0,1,121,,北京菜,通州区,距市中心18.6km
11166008,3.0,1,39,香山/八大处风景区,小吃,石景山区,距市中心18.8km
